story_id,story_cluster
127,1
254,33
865,4
1491,9
598,17
202,33
1405,7
195,28
1524,0
205,3
267,24
306,3
279,42
320,34
286,19
410,3
371,27
363,39
477,33
534,27
1365,23
677,40
1331,33
539,9
543,33
663,27
701,32
540,48
710,11
644,35
595,27
655,33
544,33
687,42
914,9
551,45
627,40
703,32
732,14
672,39
657,7
695,25
613,27
788,11
771,14
1482,0
483,33
596,12
145,1
1023,2
794,16
699,32
734,8
948,3
874,25
886,12
1046,21
1162,26
995,14
1451,18
150,1
779,7
137,1
147,19
915,3
1090,5
1114,20
875,15
829,4
1033,43
1133,12
987,46
859,13
977,14
952,5
1116,26
908,17
954,8
919,48
1037,25
920,18
892,16
833,11
1020,11
1029,35
999,37
804,45
938,14
909,12
1093,2
135,33
144,29
153,33
991,38
1038,9
1000,2
1370,15
835,14
910,8
1030,43
894,28
980,35
1079,43
1096,26
1153,21
1157,23
1262,38
1401,23
1289,11
1144,12
1169,23
354,31
409,48
1155,45
599,17
1062,26
1296,20
981,16
1012,16
1301,20
1422,18
1452,18
155,16
1208,20
1266,28
1240,42
1276,42
239,8
265,29
1436,48
216,33
1248,40
1252,17
1285,7
1446,0
1267,28
1292,7
1425,28
129,19
300,22
228,1
1347,18
576,36
313,3
600,25
373,3
1348,17
1040,8
1063,26
1081,26
1556,17
183,33
138,16
169,0
1397,22
1519,21
399,20
1098,32
1112,16
1159,29
1142,26
1148,26
1254,33
1172,29
136,33
123,40
171,24
175,40
152,1
1532,12
247,40
132,1
259,33
1431,42
1545,8
302,35
206,3
230,1
296,29
1328,23
1099,32
1521,48
291,2
303,8
380,18
442,33
419,8
580,40
1523,0
240,33
460,18
507,31
1225,14
798,7
1255,33
1555,17
449,33
368,36
381,25
327,31
443,33
1174,26
420,3
459,0
508,31
806,44
844,23
1557,23
317,0
1309,4
877,40
744,16
482,33
582,35
944,23
1065,17
308,3
293,3
323,25
258,33
488,23
470,22
808,16
895,38
940,29
1100,15
1304,28
348,3
319,34
298,32
382,35
421,36
1082,28
458,36
196,28
405,25
394,20
347,3
532,33
489,42
559,36
604,31
941,29
285,19
428,25
423,29
445,29
756,42
496,37
586,8
866,18
745,40
352,35
446,29
475,25
587,37
1311,40
809,24
923,11
846,24
957,2
491,28
1083,18
372,27
1312,25
867,18
879,2
819,8
837,36
847,13
537,22
1329,15
896,22
912,32
1234,15
924,23
958,14
1179,6
521,1
589,3
616,14
478,33
454,8
666,44
796,4
522,33
498,33
838,14
622,4
820,25
868,16
897,14
982,43
913,23
945,23
1366,12
925,40
1066,20
1013,24
1001,2
151,33
607,33
810,20
479,33
499,33
455,33
608,32
545,4
650,35
839,14
667,7
623,4
645,16
366,39
708,41
133,33
1067,10
959,15
